openssh-server	1:10.4p1-5
openssh-sftp-server	1:10.4p1-5
openssl	3.6.3-1
openssl-provider-legacy	3.6.3-1
parted	3.7-1
passwd	1:4.19.3-2
perl	5.42.3-1
perl-base	5.42.3-1
perl-modules-5.42	5.42.3-1
procps	2:4.0.6-3
psmisc	23.7-2+b1
python3	3.14.7-3
python3-minimal	3.14.7-3
python3-packaging	26.2-2
python3-pip	26.1.2+dfsg-1
python3-pip-whl	26.1.2+dfsg-1
python3-setuptools-whl	78.1.1-0.1
python3-venv	3.14.7-3
python3-wheel	0.47.0-1
python3.14	3.14.7-3
python3.14-minimal	3.14.7-3
python3.14-venv	3.14.7-3
readline-common	8.3-4
runit-helper	2.16.7
sed	4.9-3
sensible-utils	0.0.26
socat	1.8.1.3-2
sqv	1.5.0-1
sudo	1.9.17p2-8
systemd	261.2-1
systemd-sysv	261.2-1
systemd-timesyncd	261.2-1
sysvinit-utils	3.18-1
tar	1.35+dfsg-5
tcpdump	4.99.6-2
tmux	3.7c-1
traceroute	1:2.1.6-1+b1
tzdata	2026c-1
ucf	3.0056
udev	261.2-1
usr-is-merged	39+nmu2
util-linux	2.42.2-4
vim-common	2:9.2.0858-1
vim-tiny	2:9.2.0858-1
wget	1.25.0-3
zlib1g:arm64	1:1.3.dfsg+really1.3.2-3
zram-tools	0.3.7-1
